q_value_loss,eval reward,training average rewards: ,random reward,always migrate reward
515.663,-4829.868,-3255.3135,2212.3376902548416,1138.443296832987
516.04706,-4601.102,-3266.4666,2197.545099839508,1130.2933890609459
516.98627,-4637.2715,-3209.4414,2208.157563162816,1140.163329348884
516.43634,-4744.409,-3246.4573,2200.840019847111,1133.83238827455
516.7389,-4678.086,-3229.0833,2209.1479027485198,1146.1829072826154
516.8697,-4728.954,-3273.0613,2208.774778605222,1145.8075255318001
516.4817,-4757.3604,-3194.4146,2214.8067903608526,1140.3092827610826
516.474,-4470.3955,-3283.051,2205.3092346890103,1141.491625081414
516.25085,-4761.5483,-3253.1875,2219.2189707922057,1132.0207678362262
516.55505,-4699.173,-3293.278,2204.7735242004837,1138.5787659073094
516.49756,-4610.708,-3210.6372,2243.5746533953406,1152.4941780850136
516.91046,-4740.5596,-3247.6755,2238.9015297733577,1152.5557017393023
516.8706,-4395.523,-3213.2605,2233.444623033823,1156.3560913145775
516.3366,-4742.963,-3276.7395,2213.620195210598,1138.4557556664804
516.76306,-4742.3022,-3189.2437,2215.1088291984106,1146.4444837500885
517.2847,-4680.5776,-3115.9873,2191.881317210843,1141.4952246515002
516.73474,-4882.7544,-3215.142,2223.788111335014,1144.9148698796284
517.15564,-4995.718,-3300.5764,2231.7028290038047,1143.7975549234775
516.9373,-4655.0884,-3277.2346,2214.259417951332,1144.013326330258
516.797,-4730.3154,-3167.5435,2199.439722700604,1143.310930054208
516.74615,-4664.759,-3305.114,2232.407639120884,1147.4964804879778
516.7033,-4614.3354,-3227.8872,2210.7339829122675,1144.0376797900767
516.8721,-4830.0566,-3253.0474,2208.7135807016243,1137.5653044543772
516.2444,-4684.5713,-3156.6663,2231.3047033130765,1149.2391180268644
516.7791,-4723.942,-3188.0662,2234.346512868516,1159.5016324369935
516.4965,-4690.914,-3235.6719,2227.546042301002,1134.9845794123676
516.95776,-4859.906,-3189.0408,2192.2816129699368,1127.0042855092402
516.4412,-4904.298,-3214.314,2226.470764914883,1142.9538785747873
516.9022,-4793.4365,-3242.4458,2199.0587180975895,1134.6690152247513
516.87573,-4881.0093,-3333.3125,2214.451444675225,1146.0985422906
517.4863,-4689.8657,-3349.6406,2202.972960770929,1127.886555279869
516.6011,-4878.6587,-3117.604,2195.246281349524,1142.9741226658614
517.4483,-4619.0146,-3248.1475,2183.7136644954303,1136.399354098978
517.63666,-4663.6763,-3209.7385,2229.501648428123,1145.033131650168
517.23206,-4722.5415,-3123.8938,2209.5560685581836,1140.7978353428189
516.7828,-4852.485,-3202.8198,2207.626406794018,1145.682181896665
516.65283,-4697.6045,-3117.2634,2188.5432510878973,1138.372746829091
517.33966,-4677.467,-3283.6921,2205.6563938078975,1129.1593831810712
516.41187,-4696.822,-3290.3606,2222.0409413124903,1139.4722294804717
516.2772,-4985.96,-3275.8633,2218.391805410079,1148.878764390565
516.7171,-4808.7905,-3278.085,2205.4811348047515,1137.5092980716145
516.34576,-4631.896,-3281.4624,2221.4846021222133,1132.4713644375558
517.09515,-4694.2803,-3223.7354,2211.2418124973456,1149.5386613204455
516.63385,-1528.7827,-3207.1956,2203.4651114583394,1133.8711858501736
516.6516,-2084.7124,-3317.6267,2203.7299001358783,1135.768455254333
575.0973,-3483.8015,-3449.0308,2222.2428629629367,1140.9185325586548
576.5187,-1537.3351,-3622.814,2198.9095180376976,1137.7805281701187
714.23267,-1541.4133,-4096.696,2203.8393505519825,1141.1988440921607
714.6526,-1533.4824,-4053.5134,2197.6356499766107,1138.3598264193317
719.403,-1547.2523,-3996.647,2205.902343036471,1139.0410461516353
793.9775,-1559.3284,-3938.6802,2219.6071945554127,1153.825014489866
794.26074,-1539.5673,-4060.2583,2202.6050107890205,1136.9591456123783
