value loss: ,Itr,entropy loss: ,policy loss: ,optimal migrate reward: ,batch size,average random reward: ,average always migrate reward: ,average never migrate rewards: ,average reward: 
15.07,67,0.14,-0.0,-0.0,160,-2268.54,-1586.17,-1497.55,-1113.59
15.16,68,0.13,-0.0,-0.0,160,-2269.23,-1585.22,-1497.72,-1110.33
15.06,69,0.12,-0.0,-0.0,160,-2267.26,-1585.83,-1497.59,-1110.78
15.08,70,0.12,-0.0,-0.0,160,-2269.37,-1586.42,-1497.96,-1114.54
15.09,71,0.11,-0.0,-0.0,160,-2267.8,-1587.5,-1498.52,-1114.45
15.1,72,0.1,-0.0,-0.0,160,-2268.45,-1586.62,-1497.32,-1113.76
15.05,73,0.11,-0.0,-0.0,160,-2269.21,-1587.03,-1498.88,-1113.35
15.09,74,0.13,-0.0,-0.0,160,-2270.13,-1586.17,-1497.91,-1115.59
15.08,75,0.13,-0.0,-0.0,160,-2269.19,-1585.86,-1497.3,-1118.08
15.05,76,0.13,-0.0,-0.0,160,-2267.81,-1585.86,-1497.16,-1113.99
15.08,77,0.14,-0.0,-0.0,160,-2267.98,-1586.28,-1497.33,-1115.69
15.11,78,0.14,-0.0,-0.0,160,-2268.99,-1587.1,-1498.91,-1108.81
15.06,79,0.14,-0.0,-0.0,160,-2269.44,-1586.66,-1498.17,-1111.39
15.06,80,0.13,-0.0,-0.0,160,-2268.85,-1586.25,-1497.65,-1115.94
15.06,81,0.13,-0.0,-0.0,160,-2268.02,-1587.12,-1497.36,-1108.63
15.11,82,0.12,-0.0,-0.0,160,-2269.14,-1585.79,-1497.12,-1113.63
15.04,83,0.11,-0.0,-0.0,160,-2268.85,-1586.38,-1497.82,-1117.06
15.18,84,0.11,-0.0,-0.0,160,-2267.97,-1587.66,-1498.26,-1111.23
15.03,85,0.11,-0.0,-0.0,160,-2269.61,-1585.6,-1497.2,-1111.48
15.04,86,0.11,-0.0,-0.0,160,-2270.47,-1586.15,-1497.6,-1116.14
15.07,87,0.1,-0.0,-0.0,160,-2270.06,-1586.53,-1497.66,-1114.23
15.14,88,0.1,-0.0,-0.0,160,-2269.58,-1586.9,-1497.69,-1117.08
15.01,89,0.1,-0.0,-0.0,160,-2268.35,-1586.15,-1497.37,-1114.15
15.15,90,0.1,-0.0,-0.0,160,-2269.85,-1586.82,-1498.08,-1114.95
15.02,91,0.1,-0.0,-0.0,160,-2270.38,-1585.34,-1496.18,-1112.63
15.17,92,0.1,-0.0,-0.0,160,-2268.85,-1587.51,-1498.74,-1111.79
15.06,93,0.11,-0.0,-0.0,160,-2269.07,-1586.69,-1497.87,-1115.05
15.04,94,0.11,-0.0,-0.0,160,-2270.1,-1586.28,-1497.13,-1111.72
15.14,95,0.12,-0.0,-0.0,160,-2269.09,-1587.26,-1498.23,-1112.69
15.02,96,0.13,-0.0,-0.0,160,-2269.41,-1586.55,-1498.3,-1110.65
15.03,97,0.12,-0.0,-0.0,160,-2267.09,-1587.12,-1498.57,-1115.16
15.19,98,0.13,-0.0,-0.0,160,-2271.51,-1586.15,-1497.41,-1110.46
15.0,99,0.15,-0.0,-0.0,160,-2266.85,-1586.73,-1497.51,-1114.96
15.0,100,0.15,-0.0,-0.0,160,-2267.74,-1586.57,-1497.78,-1109.3
15.04,101,0.13,-0.0,-0.0,160,-2269.4,-1586.44,-1497.72,-1115.61
14.96,102,0.13,-0.0,-0.0,160,-2268.37,-1585.99,-1497.47,-1110.61
15.02,103,0.13,-0.0,-0.0,160,-2270.11,-1585.77,-1497.98,-1118.03
15.04,104,0.13,-0.0,-0.0,160,-2266.99,-1586.22,-1497.8,-1110.12
15.0,105,0.13,-0.0,-0.0,160,-2270.1,-1586.28,-1497.23,-1116.06
15.03,106,0.14,-0.0,-0.0,160,-2269.58,-1586.52,-1496.96,-1115.33
15.07,107,0.12,-0.0,-0.0,160,-2270.01,-1586.07,-1497.31,-1111.14
15.06,108,0.12,-0.0,-0.0,160,-2269.98,-1587.32,-1497.95,-1112.59
15.08,109,0.12,-0.0,-0.0,160,-2267.61,-1585.38,-1496.91,-1117.33
14.99,110,0.13,-0.0,-0.0,160,-2268.99,-1586.62,-1497.06,-1112.28
15.02,111,0.14,-0.0,-0.0,160,-2271.48,-1586.6,-1497.39,-1113.17
15.02,112,0.14,-0.0,-0.0,160,-2266.29,-1586.54,-1497.51,-1119.69
15.0,113,0.14,-0.0,-0.0,160,-2267.97,-1585.03,-1496.51,-1115.41
15.0,114,0.14,-0.0,-0.0,160,-2270.89,-1587.33,-1498.52,-1115.06
14.98,115,0.13,-0.0,-0.0,160,-2268.8,-1585.77,-1496.89,-1116.07
14.98,116,0.15,-0.0,-0.0,160,-2267.24,-1584.62,-1496.12,-1119.93
15.06,117,0.15,-0.0,-0.0,160,-2267.75,-1586.93,-1497.27,-1116.07
14.97,118,0.16,-0.0,-0.0,160,-2266.93,-1586.84,-1498.36,-1116.31
14.98,119,0.19,-0.0,-0.0,160,-2269.52,-1585.98,-1497.11,-1114.02
